CommentOwnerId,PostOwnerId,Weight
20351,16928,1
15361,16928,1
3230,3230,3
75,17636,1
17636,17636,4
12241,15624,1
723,15624,1
836,15613,2
20487,20487,5
20517,20517,7
2647,20517,1
16853,20392,1
20392,20392,1
19260,19260,1
20565,20565,1
16853,20565,1
18744,18744,1
836,18744,1
13686,19085,1
381,19085,1
20475,19085,1
20590,14904,1
18369,9420,1
18369,12515,1
20616,20616,1
676,5091,1
676,21,1
3436,21,2
12345,12515,3
20635,2723,1
471,20646,1
15527,17959,3
17959,17959,4
13012,17959,1
30227,381,1
18843,10345,1
836,20475,1
20509,10620,2
12492,12492,1
12345,14904,1
12345,17290,1
16853,17290,1
20544,12809,1
20692,12515,1
19161,19161,10
9420,20719,1
9420,11121,1
8664,20743,1
20373,20517,1
11097,20759,1
17290,20759,1
18843,2853,1
20722,12515,1
41886,3507,1
3151,9079,1
20635,14625,1
14625,14625,5
20873,21,1
20835,14469,1
836,20920,1
20920,20920,2
12515,12241,2
12241,12241,1
13727,16712,1
20635,13727,1
21,3151,3
9420,2608,1
836,12237,3
21043,12237,4
12237,12237,3
21045,6478,1
836,13686,2
21075,21075,1
381,21090,2
836,21090,3
21090,21090,1
20982,20982,1
21080,12515,2
21090,836,1
5177,836,1
21202,836,2
5177,381,5
19065,12237,1
11097,14904,3
39338,14904,1
20759,20759,2
16853,20759,1
11097,21162,1
18722,21044,1
21044,21044,1
381,20884,2
0,21166,1
1330,21166,1
21024,21024,27
381,21198,1
19161,381,3
21251,21251,3
16853,14904,1
16853,15361,2
21233,21234,2
924,21234,2
8560,21268,1
2647,2647,6
9197,9197,2
18246,18246,1
836,18626,6
47143,18626,1
18626,18626,32
7702,7702,2
19172,10049,1
11097,12947,2
12947,12947,3
21352,381,1
17290,21377,1
18843,18843,4
30770,18843,1
19161,2647,1
836,21478,2
21478,21478,1
21481,21481,1
381,21508,1
381,16068,1
19147,19147,1
13768,16538,2
16538,16538,16
21567,21567,3
19147,9420,2
21576,836,3
21576,21024,2
836,21464,1
21464,21464,1
381,21642,3
21642,21642,3
924,21638,1
8501,21638,1
21676,21676,1
836,236,1
20429,10049,1
11096,NULL,1
21024,21750,1
21737,21737,1
20544,9420,1
21396,15527,1
4978,21018,1
4978,4978,2
14913,4978,1
21242,20429,1
471,17119,1
381,9035,1
12345,21755,1
21755,21755,1
15412,381,1
836,20926,1
15412,15412,20
21940,15412,1
381,15412,5
15412,21024,2
12345,924,1
13736,20759,1
21862,16853,1
21737,15032,1
15032,15032,1
17443,17443,3
14904,17443,1
24792,9314,1
21384,21384,1
7763,21384,1
26147,21384,1
21998,21998,2
69193,21998,1
836,10517,1
18811,10517,1
21982,21982,2
381,133,1
133,133,3
7763,7763,5
21319,15518,1
381,22071,1
21896,22071,1
22075,18544,2
18544,18544,7
21702,21702,2
9465,9465,3
14150,14150,1
14150,21414,1
6554,6554,1
20926,23110,1
23110,23110,1
12206,14904,2
23138,21145,2
12345,12345,15
21566,21566,1
6550,21858,1
5177,23138,1
23138,23138,3
23198,23198,1
15361,23211,1
23211,23211,1
9420,23126,1
8013,8013,16
23250,23250,1
21473,21473,3
8560,21473,1
381,21024,1
9848,23240,1
23240,23240,48
2723,12515,2
381,23245,1
9420,21473,1
14913,16853,2
16853,16853,17
23283,23283,1
21182,21182,1
23301,23301,1
381,23301,1
20926,20926,1
17487,11141,1
12858,14904,2
23330,23330,1
2742,12858,1
13518,3151,1
17772,15412,1
23417,14904,1
23416,23416,2
14560,8878,2
27442,8878,1
21560,14904,9
23495,23495,3
23527,381,4
10372,23208,1
23452,14904,2
10372,23568,1
13100,23578,1
23578,23578,1
16853,23571,1
16853,23492,2
23492,23492,12
23492,23283,1
30149,23283,1
20884,20884,5
60841,20884,1
381,23611,1
23628,23628,2
16291,12786,1
924,15569,2
23304,8878,1
79918,8878,1
14360,14360,19
23708,23708,2
20585,20585,4
23714,14560,2
23721,23721,3
14904,12515,2
21560,12515,1
9465,12515,1
471,13517,1
13517,13517,1
836,13517,1
20372,13517,1
20722,21825,1
6550,21825,1
21825,21825,2
70715,21825,1
14685,14313,1
17783,17783,3
924,15961,1
23851,23851,1
23905,14904,1
471,10902,1
28201,10902,1
23714,14904,2
471,2647,2
9123,2647,2
836,2647,1
23945,23945,1
471,22075,1
2647,9123,3
66863,9123,1
15533,14904,3
24095,24095,1
9123,23097,1
24095,14904,1
13929,381,1
75237,381,1
676,23714,1
23714,23714,2
7916,23714,2
14360,15412,2
941,3439,1
14904,24192,1
24192,24192,1
24053,24053,1
24222,24222,2
23380,20472,2
38887,20472,1
24000,24000,6
24268,12554,1
14588,14588,8
21560,14913,4
49089,14913,1
12527,9304,1
21560,21560,3
18540,18540,9
15533,21895,3
21895,21895,1
77544,9123,1
1355,1355,1
381,23477,1
23731,24333,1
21,24420,1
24420,24420,1
24379,8752,1
13413,24379,1
9497,108,1
18699,108,1
16853,108,1
23204,14999,1
16853,NULL,3
16220,21795,1
133,24379,1
21024,10879,1
24494,24494,2
